STUDY_ID	SAMPLE_ID	APC
crc_public_genie_bpc	GENIE-DFCI-010053-10234	0
crc_public_genie_bpc	GENIE-DFCI-010112-8578	0
crc_public_genie_bpc	GENIE-DFCI-010146-10979	0
crc_public_genie_bpc	GENIE-DFCI-010151-9258	-1
crc_public_genie_bpc	GENIE-DFCI-010207-10042	0
crc_public_genie_bpc	GENIE-DFCI-010214-9339	0
crc_public_genie_bpc	GENIE-DFCI-010222-9352	0
crc_public_genie_bpc	GENIE-DFCI-010242-11755	0
crc_public_genie_bpc	GENIE-DFCI-010248-9230	0
crc_public_genie_bpc	GENIE-DFCI-010267-9304	0
crc_public_genie_bpc	GENIE-DFCI-010287-9901	0
crc_public_genie_bpc	GENIE-DFCI-010288-10337	0
crc_public_genie_bpc	GENIE-DFCI-010321-9951	-1
crc_public_genie_bpc	GENIE-DFCI-010342-9964	-1
crc_public_genie_bpc	GENIE-DFCI-010350-9854	0
crc_public_genie_bpc	GENIE-DFCI-010372-10884	0
crc_public_genie_bpc	GENIE-DFCI-010396-9758	0
crc_public_genie_bpc	GENIE-DFCI-010416-9904	0
crc_public_genie_bpc	GENIE-DFCI-010421-10688	0
crc_public_genie_bpc	GENIE-DFCI-010432-9831	0
crc_public_genie_bpc	GENIE-DFCI-010494-10654	0
crc_public_genie_bpc	GENIE-DFCI-010541-9699	-1
crc_public_genie_bpc	GENIE-DFCI-010547-11352	0
crc_public_genie_bpc	GENIE-DFCI-010552-10110	0
crc_public_genie_bpc	GENIE-DFCI-010603-9978	0
crc_public_genie_bpc	GENIE-DFCI-010629-8984	0
crc_public_genie_bpc	GENIE-DFCI-010632-10572	0
crc_public_genie_bpc	GENIE-DFCI-010640-9164	0
crc_public_genie_bpc	GENIE-DFCI-010643-9071	0
crc_public_genie_bpc	GENIE-DFCI-010684-9947	0
crc_public_genie_bpc	GENIE-DFCI-010689-10976	0
crc_public_genie_bpc	GENIE-DFCI-010692-8437	0
crc_public_genie_bpc	GENIE-DFCI-010752-9090	0
crc_public_genie_bpc	GENIE-DFCI-010772-9516	0
crc_public_genie_bpc	GENIE-DFCI-010793-9084	0
crc_public_genie_bpc	GENIE-DFCI-010860-8834	0
