WGD,Types,Regions,Copy_number_1,Counts
TRUE,"('frameshift', 'frameshift')","(0, 1)","(2.0, 2.0)",2
TRUE,"('frameshift', 'frameshift')","(0, 1)","(3.0, 0.0)",1
TRUE,"('stop_gained',)","(2,)","(2.0, 0.0)",3
TRUE,"('frameshift', 'frameshift')","(0, 2)","(2.0, 1.0)",5
TRUE,"('frameshift', 'frameshift')","(0, 2)","(2.0, 2.0)",1
TRUE,"('frameshift', 'frameshift')","(0, 2)","(3.0, 2.0)",1
TRUE,"('frameshift', 'frameshift')","(0, 3)","(2.0, 0.0)",1
TRUE,"('frameshift', 'frameshift')","(0, 3)","(2.0, 1.0)",2
TRUE,"('frameshift', 'frameshift')","(0, 3)","(2.0, 2.0)",2
TRUE,"('frameshift', 'frameshift')","(1, 1)","(3.0, 1.0)",1
TRUE,"('frameshift', 'frameshift')","(1, 2)","(1.0, 1.0)",1
TRUE,"('frameshift', 'frameshift')","(2, 2)","(2.0, 0.0)",1
TRUE,"('frameshift', 'frameshift')","(2, 2)","(2.0, 1.0)",1
TRUE,"('frameshift', 'frameshift', 'frameshift')","(0, 3, 3)","(1.0, 1.0)",1
TRUE,"('frameshift', 'frameshift', 'frameshift', 'frameshift')","(2, 2, 2, 2)","(1.0, 0.0)",1
TRUE,"('frameshift', 'frameshift', 'frameshift', 'frameshift', 'frameshift', 'frameshift', 'frameshift', 'frameshift')","(0, 1, 0, 1, 0, 1, 0, 1)","(2.0, 1.0)",1
TRUE,"('frameshift', 'stop_gained')","(0, 0)","(2.0, 1.0)",2
TRUE,"('frameshift', 'stop_gained')","(0, 1)","(1.0, 1.0)",2
TRUE,"('frameshift', 'stop_gained')","(0, 1)","(2.0, 0.0)",1
TRUE,"('frameshift', 'stop_gained')","(0, 1)","(2.0, 1.0)",3
TRUE,"('frameshift', 'stop_gained')","(0, 1)","(2.0, 2.0)",2
TRUE,"('frameshift', 'stop_gained')","(0, 1)","(3.0, 1.0)",1
TRUE,"('frameshift', 'stop_gained')","(0, 2)","(1.0, 1.0)",2
TRUE,"('frameshift', 'stop_gained')","(0, 2)","(2.0, 1.0)",2
TRUE,"('frameshift', 'stop_gained')","(0, 2)","(2.0, 2.0)",2
TRUE,"('frameshift', 'stop_gained')","(0, 3)","(2.0, 1.0)",1
TRUE,"('frameshift', 'stop_gained')","(0, 3)","(2.0, 2.0)",1
TRUE,"('frameshift', 'stop_gained')","(1, 1)","(2.0, 1.0)",1
TRUE,"('frameshift', 'stop_gained')","(1, 2)","(2.0, 1.0)",2
TRUE,"('frameshift', 'stop_gained', 'frameshift')","(0, 0, 1)","(1.0, 1.0)",1
TRUE,"('frameshift', 'stop_gained', 'frameshift', 'stop_gained')","(0, 1, 0, 1)","(2.0, 1.0)",1
TRUE,"('stop_gained',)","(2,)","(1.0, 0.0)",4
TRUE,"('stop_gained',)","(0,)","(1.0, 1.0)",12
TRUE,"('stop_gained',)","(0,)","(2.0, 0.0)",32
TRUE,"('stop_gained',)","(0,)","(2.0, 1.0)",20
TRUE,"('stop_gained',)","(0,)","(2.0, 2.0)",4
TRUE,"('stop_gained',)","(0,)","(3.0, 0.0)",9
TRUE,"('stop_gained',)","(0,)","(4.0, 0.0)",6
TRUE,"('stop_gained',)","(0,)","(5.0, 0.0)",1
TRUE,"('stop_gained',)","(1,)","(1.0, 0.0)",3
TRUE,"('stop_gained',)","(1,)","(1.0, 1.0)",2
TRUE,"('stop_gained',)","(1,)","(2.0, 0.0)",29
TRUE,"('stop_gained',)","(1,)","(2.0, 1.0)",4
TRUE,"('stop_gained',)","(1,)","(3.0, 0.0)",24
TRUE,"('stop_gained',)","(1,)","(4.0, 0.0)",10
TRUE,"('stop_gained',)","(1,)","(4.0, 1.0)",1
TRUE,"('stop_gained',)","(1,)","(5.0, 0.0)",1
TRUE,"('stop_gained',)","(1,)","(6.0, 0.0)",2
TRUE,"('stop_gained',)","(1,)","(9.0, 0.0)",1
TRUE,"('stop_gained',)","(2,)","(0.0, 0.0)",1
TRUE,"('stop_gained',)","(2,)","(1.0, 0.0)",3
TRUE,"('stop_gained',)","(2,)","(1.0, 1.0)",1
TRUE,"('stop_gained',)","(2,)","(2.0, 0.0)",10
TRUE,"('stop_gained',)","(2,)","(2.0, 1.0)",2
TRUE,"('stop_gained',)","(2,)","(3.0, 0.0)",11
TRUE,"('stop_gained',)","(2,)","(4.0, 0.0)",1
TRUE,"('stop_gained',)","(2,)","(5.0, 0.0)",1
TRUE,"('stop_gained',)","(3,)","(2.0, 0.0)",2
TRUE,"('stop_gained', 'frameshift')","(0, 0)","(2.0, 1.0)",1
TRUE,"('stop_gained', 'frameshift')","(0, 0)","(3.0, 2.0)",1
TRUE,"('stop_gained', 'frameshift')","(0, 0)","(3.0, 3.0)",1
TRUE,"('stop_gained', 'frameshift')","(0, 1)","(1.0, 1.0)",5
TRUE,"('stop_gained', 'frameshift')","(0, 1)","(2.0, 0.0)",1
TRUE,"('stop_gained', 'frameshift')","(0, 1)","(2.0, 1.0)",8
